ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-06 11:00:30,385 # RIOT-BLE-0,606,1842,-2,4626,-2,10123,1,-61
2026-03-06 11:00:30,387 # RIOT-BLE-0,607,1843,-2,4634,-2,10124,1,-61
2026-03-06 11:00:30,387 # RIOT-BLE-0,608,1845,-2,4632,-2,10125,1,-60
2026-03-06 11:00:30,387 # RIOT-BLE-0,609,1848,-2,4631,-2,10127,1,-64
2026-03-06 11:00:30,388 # RIOT-BLE-0,610,1849,-2,4622,-2,10133,1,-66
2026-03-06 11:00:30,388 # RIOT-BLE-0,611,1853,-2,4628,-2,10146,1,-56
2026-03-06 11:00:30,389 # RIOT-BLE-0,612,1855,-2,4626,-2,10148,1,-54
2026-03-06 11:00:30,390 # RIOT-BLE-0,613,1857,-2,4628,-2,10168,1,-54
2026-03-06 11:00:30,390 # RIOT-BLE-0,614,1859,-2,4627,-2,10159,1,-53
2026-03-06 11:00:30,459 # RIOT-BLE-0,615,1859,-2,4641,-2,10144,1,-52
2026-03-06 11:00:30,558 # RIOT-BLE-0,616,1859,-2,4636,-2,10140,1,-55
2026-03-06 11:00:30,708 # RIOT-BLE-0,617,1859,-2,4632,-2,10138,1,-57
2026-03-06 11:00:30,808 # RIOT-BLE-0,618,1859,-2,4642,-2,10136,1,-54
2026-03-06 11:00:30,908 # RIOT-BLE-0,619,1858,-2,4641,-2,10130,1,-56
2026-03-06 11:00:31,010 # RIOT-BLE-0,620,1857,-2,4639,-2,10127,1,-56
2026-03-06 11:00:31,158 # RIOT-BLE-0,621,1859,-2,4637,-2,10126,1,-61
2026-03-06 11:00:31,259 # RIOT-BLE-0,622,1857,-2,4638,-2,10123,1,-55
2026-03-06 11:00:31,359 # RIOT-BLE-0,623,1857,-2,4641,-2,10123,1,-52
2026-03-06 11:00:31,510 # RIOT-BLE-0,624,1858,-2,4643,-2,10123,1,-50
2026-03-06 11:00:31,609 # RIOT-BLE-0,625,1859,-2,4642,-2,10122,1,-52
2026-03-06 11:00:31,709 # RIOT-BLE-0,626,1861,-2,4637,-2,10122,1,-54
2026-03-06 11:00:31,859 # RIOT-BLE-0,627,1861,-2,4646,-2,10121,1,-62
2026-03-06 11:00:31,959 # RIOT-BLE-0,628,1863,-2,4655,-2,10121,1,-66
2026-03-06 11:00:32,060 # RIOT-BLE-0,629,1863,-2,4638,-2,10121,1,-64
2026-03-06 11:00:32,209 # RIOT-BLE-0,630,1864,-2,4643,-2,10119,1,-73
2026-03-06 11:00:32,309 # RIOT-BLE-0,631,1863,-2,4643,-2,10119,1,-70
2026-03-06 11:00:32,460 # RIOT-BLE-0,632,1863,-2,4640,-2,10119,1,-67
2026-03-06 11:00:32,508 # RIOT-BLE-0,633,1863,-2,4634,-2,10119,1,-62
2026-03-06 11:00:32,710 # RIOT-BLE-0,634,1862,-2,4638,-2,10119,1,-65
2026-03-06 11:00:32,760 # RIOT-BLE-0,635,1863,-2,4643,-2,10120,1,-62
2026-03-06 11:00:32,859 # RIOT-BLE-0,636,1864,-2,4645,-2,10120,1,-62
2026-03-06 11:00:33,009 # RIOT-BLE-0,637,1864,-2,4642,-2,10119,1,-59
2026-03-06 11:00:33,109 # RIOT-BLE-0,638,1865,-2,4646,-2,10120,1,-56
2026-03-06 11:00:33,209 # RIOT-BLE-0,639,1864,-2,4648,-2,10120,1,-52
2026-03-06 11:00:33,364 # RIOT-BLE-0,640,1865,-2,4653,-2,10120,1,-57
2026-03-06 11:00:33,459 # RIOT-BLE-0,641,1865,-2,4641,-2,10121,1,-60
2026-03-06 11:00:33,559 # RIOT-BLE-0,642,1865,-2,4634,-2,10120,1,-65
2026-03-06 11:00:33,660 # RIOT-BLE-0,643,1867,-2,4645,-2,10119,1,-64
2026-03-06 11:00:33,810 # RIOT-BLE-0,644,1866,-2,4644,-2,10117,1,-67
2026-03-06 11:00:33,909 # RIOT-BLE-0,645,1863,-2,4640,-2,10120,1,-60
2026-03-06 11:00:34,010 # RIOT-BLE-0,646,1861,-2,4627,-2,10119,1,-68
2026-03-06 11:00:34,161 # RIOT-BLE-0,647,1859,-2,4631,-2,10119,1,-58
2026-03-06 11:00:34,261 # RIOT-BLE-0,648,1859,-2,4642,-2,10118,1,-71
2026-03-06 11:00:34,411 # RIOT-BLE-0,649,1858,-2,4634,-2,10119,1,-64
2026-03-06 11:00:34,514 # RIOT-BLE-0,650,1857,-2,4633,-2,10119,1,-66
2026-03-06 11:00:34,610 # RIOT-BLE-0,651,1856,-2,4622,-2,10120,1,-64
2026-03-06 11:00:34,761 # RIOT-BLE-0,652,1855,-2,4624,-2,10121,1,-70
2026-03-06 11:00:34,810 # RIOT-BLE-0,653,1858,-2,4628,-2,10124,1,-72
2026-03-06 11:00:44,714 # RIOT-BLE-0,729,1840,-2,4586,-2,10118,1,-75
2026-03-06 11:00:44,718 # RIOT-BLE-0,730,1840,-2,4584,-2,10118,1,-76
2026-03-06 11:00:47,464 # RIOT-BLE-0,739,1836,-2,4594,-2,10117,1,-77
2026-03-06 11:00:47,467 # RIOT-BLE-0,740,1835,-2,4592,-2,10118,1,-77
