ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-06 11:10:20.199,RIOT-BLE-0,0,1763,-2,4554,-2,10119,1,-63
2026-03-06 11:10:20.344,RIOT-BLE-0,1,1763,-2,4548,-2,10119,1,-61
2026-03-06 11:10:20.444,RIOT-BLE-0,2,1763,-2,4549,-2,10119,1,-63
2026-03-06 11:10:20.545,RIOT-BLE-0,3,1764,-2,4561,-2,10119,1,-52
2026-03-06 11:10:20.694,RIOT-BLE-0,4,1763,-2,4554,-2,10118,1,-70
2026-03-06 11:10:20.794,RIOT-BLE-0,5,1762,-2,4560,-2,10118,1,-71
2026-03-06 11:10:20.894,RIOT-BLE-0,6,1763,-2,4558,-2,10119,1,-76
2026-03-06 11:10:20.994,RIOT-BLE-0,7,1763,-2,4571,-2,10119,1,-65
2026-03-06 11:10:21.144,RIOT-BLE-0,8,1763,-2,4561,-2,10120,1,-59
2026-03-06 11:10:21.244,RIOT-BLE-0,9,1763,-2,4553,-2,10120,1,-55
2026-03-06 11:10:21.344,RIOT-BLE-0,10,1762,-2,4571,-2,10120,1,-54
2026-03-06 11:10:21.501,RIOT-BLE-0,11,1762,-2,4564,-2,10121,1,-56
2026-03-06 11:10:21.593,RIOT-BLE-0,12,1761,-2,4569,-2,10120,1,-54
2026-03-06 11:10:21.695,RIOT-BLE-0,13,1761,-2,4567,-2,10120,1,-55
2026-03-06 11:10:21.846,RIOT-BLE-0,14,1760,-2,4563,-2,10120,1,-56
2026-03-06 11:10:21.946,RIOT-BLE-0,15,1760,-2,4568,-2,10120,1,-66
2026-03-06 11:10:22.046,RIOT-BLE-0,16,1760,-2,4568,-2,10120,1,-61
2026-03-06 11:10:22.145,RIOT-BLE-0,17,1759,-2,4569,-2,10119,1,-64
2026-03-06 11:10:22.295,RIOT-BLE-0,18,1760,-2,4571,-2,10118,1,-52
2026-03-06 11:10:22.395,RIOT-BLE-0,19,1760,-2,4584,-2,10119,1,-53
2026-03-06 11:10:22.495,RIOT-BLE-0,20,1759,-2,4581,-2,10118,1,-57
2026-03-06 11:10:22.645,RIOT-BLE-0,21,1759,-2,4592,-2,10118,1,-64
2026-03-06 11:10:22.748,RIOT-BLE-0,22,1759,-2,4581,-2,10118,1,-64
2026-03-06 11:10:22.846,RIOT-BLE-0,23,1760,-2,4580,-2,10118,1,-72
2026-03-06 11:10:22.996,RIOT-BLE-0,24,1760,-2,4594,-2,10118,1,-62
2026-03-06 11:10:23.095,RIOT-BLE-0,25,1761,-2,4579,-2,10119,1,-65
2026-03-06 11:10:23.196,RIOT-BLE-0,26,1760,-2,4586,-2,10118,1,-67
2026-03-06 11:10:23.296,RIOT-BLE-0,27,1760,-2,4582,-2,10118,1,-61
2026-03-06 11:10:23.445,RIOT-BLE-0,28,1759,-2,4581,-2,10118,1,-61
2026-03-06 11:10:23.545,RIOT-BLE-0,29,1760,-2,4580,-2,10118,1,-61
2026-03-06 11:10:23.645,RIOT-BLE-0,30,1760,-2,4585,-2,10118,1,-64
2026-03-06 11:10:23.795,RIOT-BLE-0,31,1759,-2,4589,-2,10118,1,-61
2026-03-06 11:10:23.894,RIOT-BLE-0,32,1759,-2,4596,-2,10118,1,-65
2026-03-06 11:10:24.145,RIOT-BLE-0,34,1759,-2,4580,-2,10118,1,-65
2026-03-06 11:10:24.245,RIOT-BLE-0,35,1759,-2,4590,-2,10118,1,-65
2026-03-06 11:10:24.445,RIOT-BLE-0,36,1758,-2,4587,-2,10118,1,-70
2026-03-06 11:10:24.449,RIOT-BLE-0,37,1758,-2,4600,-2,10118,1,-69
2026-03-06 11:10:24.594,RIOT-BLE-0,38,1758,-2,4595,-2,10118,1,-61
2026-03-06 11:10:24.696,RIOT-BLE-0,39,1758,-2,4587,-2,10118,1,-67
2026-03-06 11:10:24.795,RIOT-BLE-0,40,1758,-2,4602,-2,10119,1,-62
2026-03-06 11:10:24.945,RIOT-BLE-0,41,1758,-2,4596,-2,10117,1,-60
2026-03-06 11:10:25.046,RIOT-BLE-0,42,1758,-2,4595,-2,10118,1,-61
2026-03-06 11:10:25.148,RIOT-BLE-0,43,1759,-2,4601,-2,10119,1,-63
2026-03-06 11:10:25.295,RIOT-BLE-0,44,1758,-2,4591,-2,10118,1,-67
2026-03-06 11:10:25.395,RIOT-BLE-0,45,1759,-2,4590,-2,10118,1,-70
2026-03-06 11:10:25.495,RIOT-BLE-0,46,1758,-2,4586,-2,10118,1,-69
2026-03-06 11:10:25.595,RIOT-BLE-0,47,1758,-2,4600,-2,10118,1,-70
2026-03-06 11:10:25.745,RIOT-BLE-0,48,1758,-2,4597,-2,10118,1,-71
2026-03-06 11:10:25.845,RIOT-BLE-0,49,1758,-2,4596,-2,10118,1,-67
2026-03-06 11:10:26.096,RIOT-BLE-0,50,1757,-2,4599,-2,10119,1,-69
2026-03-06 11:10:26.098,RIOT-BLE-0,51,1757,-2,4595,-2,10118,1,-70
2026-03-06 11:10:26.194,RIOT-BLE-0,52,1757,-2,4606,-2,10118,1,-64
2026-03-06 11:10:26.296,RIOT-BLE-0,53,1758,-2,4594,-2,10119,1,-77
2026-03-06 11:10:26.445,RIOT-BLE-0,54,1758,-2,4617,-2,10118,1,-70
2026-03-06 11:10:26.545,RIOT-BLE-0,55,1759,-2,4607,-2,10118,1,-67
2026-03-06 11:10:26.644,RIOT-BLE-0,56,1758,-2,4613,-2,10118,1,-73
2026-03-06 11:10:26.745,RIOT-BLE-0,57,1758,-2,4607,-2,10119,1,-73
2026-03-06 11:10:27.145,RIOT-BLE-0,58,1758,-2,4610,-2,10119,1,-75
2026-03-06 11:10:27.195,RIOT-BLE-0,59,1759,-2,4607,-2,10119,1,-70
2026-03-06 11:10:27.245,RIOT-BLE-0,61,1760,-2,4604,-2,10119,1,-69
2026-03-06 11:10:27.351,RIOT-BLE-0,62,1760,-2,4605,-2,10119,1,-66
2026-03-06 11:10:27.446,RIOT-BLE-0,63,1760,-2,4609,-2,10119,1,-71
2026-03-06 11:10:27.595,RIOT-BLE-0,64,1760,-2,4607,-2,10117,1,-69
2026-03-06 11:10:27.695,RIOT-BLE-0,65,1760,-2,4613,-2,10118,1,-70
2026-03-06 11:10:27.795,RIOT-BLE-0,66,1760,-2,4607,-2,10118,1,-69
2026-03-06 11:10:27.896,RIOT-BLE-0,67,1759,-2,4608,-2,10118,1,-69
2026-03-06 11:10:28.047,RIOT-BLE-0,68,1759,-2,4610,-2,10118,1,-69
2026-03-06 11:10:28.147,RIOT-BLE-0,69,1758,-2,4619,-2,10118,1,-66
2026-03-06 11:10:28.246,RIOT-BLE-0,70,1758,-2,4616,-2,10118,1,-70
2026-03-06 11:10:28.396,RIOT-BLE-0,71,1757,-2,4614,-2,10118,1,-69
2026-03-06 11:10:28.496,RIOT-BLE-0,72,1758,-2,4628,-2,10118,1,-72
2026-03-06 11:10:28.596,RIOT-BLE-0,73,1757,-2,4610,-2,10118,1,-74
2026-03-06 11:10:28.746,RIOT-BLE-0,74,1757,-2,4616,-2,10119,1,-71
2026-03-06 11:10:28.895,RIOT-BLE-0,75,1757,-2,4615,-2,10118,1,-69
2026-03-06 11:10:28.946,RIOT-BLE-0,76,1757,-2,4621,-2,10119,1,-68
2026-03-06 11:10:29.046,RIOT-BLE-0,77,1756,-2,4612,-2,10119,1,-69
2026-03-06 11:10:29.396,RIOT-BLE-0,78,1757,-2,4616,-2,10118,1,-74
2026-03-06 11:10:29.399,RIOT-BLE-0,79,1757,-2,4613,-2,10119,1,-74
2026-03-06 11:10:29.546,RIOT-BLE-0,81,1757,-2,4620,-2,10119,1,-68
2026-03-06 11:10:29.646,RIOT-BLE-0,82,1757,-2,4627,-2,10120,1,-70
2026-03-06 11:10:29.746,RIOT-BLE-0,83,1758,-2,4626,-2,10120,1,-77
2026-03-06 11:10:29.896,RIOT-BLE-0,84,1758,-2,4621,-2,10124,1,-67
2026-03-06 11:10:29.997,RIOT-BLE-0,85,1758,-2,4630,-2,10121,1,-72
2026-03-06 11:10:30.146,RIOT-BLE-0,86,1759,-2,4629,-2,10122,1,-69
2026-03-06 11:10:30.245,RIOT-BLE-0,87,1760,-2,4628,-2,10121,1,-68
2026-03-06 11:10:30.346,RIOT-BLE-0,88,1760,-2,4618,-2,10122,1,-69
2026-03-06 11:10:30.498,RIOT-BLE-0,89,1760,-2,4620,-2,10121,1,-72
2026-03-06 11:10:30.546,RIOT-BLE-0,90,1761,-2,4624,-2,10122,1,-73
2026-03-06 11:10:30.848,RIOT-BLE-0,91,1762,-2,4631,-2,10121,1,-71
2026-03-06 11:10:30.850,RIOT-BLE-0,92,1763,-2,4637,-2,10120,1,-71
2026-03-06 11:10:31.047,RIOT-BLE-0,93,1764,-2,4631,-2,10119,1,-73
2026-03-06 11:10:31.049,RIOT-BLE-0,94,1764,-2,4615,-2,10119,1,-72
2026-03-06 11:10:31.148,RIOT-BLE-0,95,1764,-2,4625,-2,10120,1,-74
2026-03-06 11:10:31.496,RIOT-BLE-0,96,1764,-2,4611,-2,10120,1,-76
2026-03-06 11:10:31.898,RIOT-BLE-0,99,1765,-2,4619,-2,10119,1,-73
2026-03-06 11:10:31.998,RIOT-BLE-0,100,1764,-2,4617,-2,10120,1,-74
2026-03-06 11:10:32.001,RIOT-BLE-0,102,1766,-2,4620,-2,10120,1,-72
2026-03-06 11:10:32.248,RIOT-BLE-0,103,1765,-2,4621,-2,10120,1,-72
2026-03-06 11:10:32.250,RIOT-BLE-0,104,1766,-2,4620,-2,10119,1,-72
2026-03-06 11:10:32.446,RIOT-BLE-0,105,1766,-2,4621,-2,10120,1,-71
2026-03-06 11:10:32.450,RIOT-BLE-0,106,1768,-2,4619,-2,10120,1,-73
2026-03-06 11:10:32.548,RIOT-BLE-0,107,1769,-2,4624,-2,10123,1,-73
2026-03-06 11:10:32.948,RIOT-BLE-0,108,1769,-2,4621,-2,10145,1,-70
2026-03-06 11:10:32.951,RIOT-BLE-0,109,1770,-2,4624,-2,10130,1,-70
