ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-07 14:54:42.877,RIOT-BLE-3,2145,,,,,,,-76
2026-03-07 14:54:42.938,RIOT-BLE-1,1210,,,,,,,-79
2026-03-07 14:54:42.956,RIOT-BLE-0,1186,,,,,,,-74
2026-03-07 14:54:42.977,RIOT-BLE-3,2146,,,,,,,-70
2026-03-07 14:54:43.038,RIOT-BLE-1,1211,,,,,,,-74
2026-03-07 14:54:43.040,RIOT-BLE-1,1213,,,,,,,-73
2026-03-07 14:54:43.057,RIOT-BLE-0,1187,,,,,,,-73
2026-03-07 14:54:43.124,RIOT-BLE-2,8332,,,,,,,-76
2026-03-07 14:54:43.127,RIOT-BLE-2,8333,,,,,,,-76
2026-03-07 14:54:43.138,RIOT-BLE-1,1214,,,,,,,-73
2026-03-07 14:54:43.157,RIOT-BLE-0,1188,,,,,,,-70
2026-03-07 14:54:43.257,RIOT-BLE-0,1189,,,,,,,-72
2026-03-07 14:54:43.277,RIOT-BLE-3,2147,,,,,,,-68
2026-03-07 14:54:43.280,RIOT-BLE-3,2149,,,,,,,-67
2026-03-07 14:54:43.288,RIOT-BLE-1,1215,,,,,,,-80
2026-03-07 14:54:43.324,RIOT-BLE-2,8335,,,,,,,-71
2026-03-07 14:54:43.327,RIOT-BLE-2,8336,,,,,,,-70
2026-03-07 14:54:43.337,RIOT-BLE-1,1216,,,,,,,-79
2026-03-07 14:54:43.357,RIOT-BLE-0,1190,,,,,,,-71
2026-03-07 14:54:43.377,RIOT-BLE-3,2150,,,,,,,-69
2026-03-07 14:54:43.424,RIOT-BLE-2,8337,,,,,,,-70
2026-03-07 14:54:43.457,RIOT-BLE-0,1191,,,,,,,-70
2026-03-07 14:54:43.477,RIOT-BLE-3,2151,,,,,,,-69
2026-03-07 14:54:43.524,RIOT-BLE-2,8338,,,,,,,-74
2026-03-07 14:54:43.538,RIOT-BLE-1,1217,,,,,,,-78
2026-03-07 14:54:43.540,RIOT-BLE-1,1218,,,,,,,-77
2026-03-07 14:54:43.557,RIOT-BLE-0,1192,,,,,,,-70
2026-03-07 14:54:43.577,RIOT-BLE-3,2152,,,,,,,-76
2026-03-07 14:54:43.624,RIOT-BLE-2,8339,,,,,,,-72
2026-03-07 14:54:43.638,RIOT-BLE-1,1219,,,,,,,-76
2026-03-07 14:54:43.656,RIOT-BLE-0,1193,,,,,,,-72
2026-03-07 14:54:43.724,RIOT-BLE-2,8340,,,,,,,-70
2026-03-07 14:54:43.756,RIOT-BLE-0,1194,,,,,,,-68
2026-03-07 14:54:43.777,RIOT-BLE-3,2153,,,,,,,-69
2026-03-07 14:54:43.780,RIOT-BLE-3,2154,,,,,,,-68
2026-03-07 14:54:43.824,RIOT-BLE-2,8341,,,,,,,-73
2026-03-07 14:54:43.857,RIOT-BLE-0,1195,,,,,,,-73
2026-03-07 14:54:43.877,RIOT-BLE-3,2155,,,,,,,-77
2026-03-07 14:54:43.957,RIOT-BLE-0,1196,,,,,,,-70
2026-03-07 14:54:43.977,RIOT-BLE-3,2156,,,,,,,-76
2026-03-07 14:54:44.024,RIOT-BLE-2,8342,,,,,,,-75
2026-03-07 14:54:44.027,RIOT-BLE-2,8343,,,,,,,-74
2026-03-07 14:54:44.057,RIOT-BLE-0,1197,,,,,,,-70
2026-03-07 14:54:44.077,RIOT-BLE-3,2157,,,,,,,-69
2026-03-07 14:54:44.124,RIOT-BLE-2,8344,,,,,,,-76
2026-03-07 14:54:44.157,RIOT-BLE-0,1198,,,,,,,-71
2026-03-07 14:54:44.177,RIOT-BLE-3,2158,,,,,,,-73
2026-03-07 14:54:44.224,RIOT-BLE-2,8345,,,,,,,-71
2026-03-07 14:54:44.257,RIOT-BLE-0,1199,,,,,,,-73
2026-03-07 14:54:44.277,RIOT-BLE-3,2159,,,,,,,-70
2026-03-07 14:54:44.324,RIOT-BLE-2,8346,,,,,,,-72
2026-03-07 14:54:44.357,RIOT-BLE-0,1200,,,,,,,-71
2026-03-07 14:54:44.377,RIOT-BLE-3,2160,,,,,,,-72
2026-03-07 14:54:44.424,RIOT-BLE-2,8347,,,,,,,-72
2026-03-07 14:54:44.457,RIOT-BLE-0,1201,,,,,,,-68
2026-03-07 14:54:44.524,RIOT-BLE-2,8348,,,,,,,-77
2026-03-07 14:54:44.557,RIOT-BLE-0,1202,,,,,,,-69
2026-03-07 14:54:44.577,RIOT-BLE-3,2161,,,,,,,-70
2026-03-07 14:54:44.580,RIOT-BLE-3,2162,,,,,,,-71
2026-03-07 14:54:44.588,RIOT-BLE-1,1220,,,,,,,-79
2026-03-07 14:54:44.624,RIOT-BLE-2,8349,,,,,,,-70
2026-03-07 14:54:44.657,RIOT-BLE-0,1203,,,,,,,-71
2026-03-07 14:54:44.677,RIOT-BLE-3,2163,,,,,,,-77
2026-03-07 14:54:44.724,RIOT-BLE-2,8350,,,,,,,-73
2026-03-07 14:54:44.757,RIOT-BLE-0,1204,,,,,,,-71
2026-03-07 14:54:44.824,RIOT-BLE-2,8351,,,,,,,-73
2026-03-07 14:54:44.878,RIOT-BLE-3,2164,,,,,,,-70
2026-03-07 14:54:44.879,RIOT-BLE-3,2165,,,,,,,-70
2026-03-07 14:54:44.888,RIOT-BLE-1,1221,,,,,,,-77
2026-03-07 14:54:44.906,RIOT-BLE-0,1205,,,,,,,-72
2026-03-07 14:54:44.924,RIOT-BLE-2,8352,,,,,,,-71
2026-03-07 14:54:44.957,RIOT-BLE-0,1206,,,,,,,-72
2026-03-07 14:54:44.977,RIOT-BLE-3,2166,,,,,,,-68
2026-03-07 14:54:45.024,RIOT-BLE-2,8353,,,,,,,-71
2026-03-07 14:54:45.056,RIOT-BLE-0,1207,,,,,,,-71
2026-03-07 14:54:45.077,RIOT-BLE-3,2167,,,,,,,-71
2026-03-07 14:54:45.124,RIOT-BLE-2,8354,,,,,,,-73
2026-03-07 14:54:45.138,RIOT-BLE-1,1229,,,,,,,-76
2026-03-07 14:54:45.140,RIOT-BLE-1,1232,,,,,,,-76
2026-03-07 14:54:45.156,RIOT-BLE-0,1208,,,,,,,-72
2026-03-07 14:54:45.177,RIOT-BLE-3,2168,,,,,,,-78
2026-03-07 14:54:45.188,RIOT-BLE-1,1234,,,,,,,-77
2026-03-07 14:54:45.224,RIOT-BLE-2,8355,,,,,,,-72
2026-03-07 14:54:45.256,RIOT-BLE-0,1209,,,,,,,-70
2026-03-07 14:54:45.277,RIOT-BLE-3,2169,,,,,,,-70
2026-03-07 14:54:45.324,RIOT-BLE-2,8356,,,,,,,-69
2026-03-07 14:54:45.338,RIOT-BLE-1,1235,,,,,,,-77
2026-03-07 14:54:45.356,RIOT-BLE-0,1210,,,,,,,-70
2026-03-07 14:54:45.377,RIOT-BLE-3,2170,,,,,,,-72
2026-03-07 14:54:45.424,RIOT-BLE-2,8357,,,,,,,-69
2026-03-07 14:54:45.456,RIOT-BLE-0,1211,,,,,,,-71
2026-03-07 14:54:45.477,RIOT-BLE-3,2171,,,,,,,-71
2026-03-07 14:54:45.524,RIOT-BLE-2,8358,,,,,,,-70
2026-03-07 14:54:45.556,RIOT-BLE-0,1212,,,,,,,-70
2026-03-07 14:54:45.577,RIOT-BLE-3,2172,,,,,,,-70
2026-03-07 14:54:45.624,RIOT-BLE-2,8359,,,,,,,-70
2026-03-07 14:54:45.656,RIOT-BLE-0,1213,,,,,,,-70
2026-03-07 14:54:45.677,RIOT-BLE-3,2173,,,,,,,-69
2026-03-07 14:54:45.724,RIOT-BLE-2,8360,,,,,,,-76
2026-03-07 14:54:45.756,RIOT-BLE-0,1214,,,,,,,-69
2026-03-07 14:54:45.777,RIOT-BLE-3,2174,,,,,,,-68
2026-03-07 14:54:45.824,RIOT-BLE-2,8361,,,,,,,-69
2026-03-07 14:54:45.857,RIOT-BLE-0,1215,,,,,,,-70
2026-03-07 14:54:45.877,RIOT-BLE-3,2175,,,,,,,-75
2026-03-07 14:54:45.924,RIOT-BLE-2,8362,,,,,,,-75
2026-03-07 14:54:45.956,RIOT-BLE-0,1216,,,,,,,-70
2026-03-07 14:54:45.977,RIOT-BLE-3,2176,,,,,,,-68
2026-03-07 14:54:46.024,RIOT-BLE-2,8363,,,,,,,-70
2026-03-07 14:54:46.038,RIOT-BLE-1,1236,,,,,,,-73
2026-03-07 14:54:46.040,RIOT-BLE-1,1237,,,,,,,-73
2026-03-07 14:54:46.056,RIOT-BLE-0,1217,,,,,,,-70
2026-03-07 14:54:46.077,RIOT-BLE-3,2177,,,,,,,-69
2026-03-07 14:54:46.138,RIOT-BLE-1,1243,,,,,,,-77
2026-03-07 14:54:46.156,RIOT-BLE-0,1218,,,,,,,-71
2026-03-07 14:54:46.177,RIOT-BLE-3,2178,,,,,,,-68
2026-03-07 14:54:46.224,RIOT-BLE-2,8364,,,,,,,-69
2026-03-07 14:54:46.227,RIOT-BLE-2,8365,,,,,,,-70
2026-03-07 14:54:46.256,RIOT-BLE-0,1219,,,,,,,-69
2026-03-07 14:54:46.277,RIOT-BLE-3,2179,,,,,,,-69
2026-03-07 14:54:46.324,RIOT-BLE-2,8366,,,,,,,-74
2026-03-07 14:54:46.338,RIOT-BLE-1,1244,,,,,,,-81
2026-03-07 14:54:46.356,RIOT-BLE-0,1220,,,,,,,-72
2026-03-07 14:54:46.377,RIOT-BLE-3,2180,,,,,,,-79
2026-03-07 14:54:46.424,RIOT-BLE-2,8367,,,,,,,-73
2026-03-07 14:54:46.456,RIOT-BLE-0,1221,,,,,,,-76
2026-03-07 14:54:46.477,RIOT-BLE-3,2181,,,,,,,-73
2026-03-07 14:54:46.524,RIOT-BLE-2,8368,,,,,,,-75
2026-03-07 14:54:46.577,RIOT-BLE-3,2182,,,,,,,-71
2026-03-07 14:54:46.607,RIOT-BLE-0,1222,,,,,,,-75
2026-03-07 14:54:46.624,RIOT-BLE-2,8369,,,,,,,-69
2026-03-07 14:54:46.677,RIOT-BLE-3,2183,,,,,,,-69
2026-03-07 14:54:46.724,RIOT-BLE-2,8370,,,,,,,-70
2026-03-07 14:54:46.777,RIOT-BLE-3,2184,,,,,,,-70
2026-03-07 14:54:46.824,RIOT-BLE-2,8371,,,,,,,-71
2026-03-07 14:54:46.877,RIOT-BLE-3,2185,,,,,,,-72
2026-03-07 14:54:46.888,RIOT-BLE-1,1245,,,,,,,-78
2026-03-07 14:54:46.890,RIOT-BLE-1,1246,,,,,,,-79
2026-03-07 14:54:46.924,RIOT-BLE-2,8372,,,,,,,-69
2026-03-07 14:54:46.957,RIOT-BLE-0,1223,,,,,,,-77
2026-03-07 14:54:46.959,RIOT-BLE-0,1224,,,,,,,-77
2026-03-07 14:54:47.024,RIOT-BLE-2,8373,,,,,,,-73
2026-03-07 14:54:47.056,RIOT-BLE-0,1227,,,,,,,-71
2026-03-07 14:54:47.077,RIOT-BLE-3,2186,,,,,,,-71
2026-03-07 14:54:47.080,RIOT-BLE-3,2187,,,,,,,-70
2026-03-07 14:54:47.124,RIOT-BLE-2,8374,,,,,,,-69
2026-03-07 14:54:47.156,RIOT-BLE-0,1228,,,,,,,-76
2026-03-07 14:54:47.178,RIOT-BLE-3,2188,,,,,,,-69
2026-03-07 14:54:47.224,RIOT-BLE-2,8375,,,,,,,-69
2026-03-07 14:54:47.277,RIOT-BLE-3,2189,,,,,,,-67
2026-03-07 14:54:47.306,RIOT-BLE-0,1229,,,,,,,-74
2026-03-07 14:54:47.324,RIOT-BLE-2,8376,,,,,,,-67
2026-03-07 14:54:47.356,RIOT-BLE-0,1230,,,,,,,-73
2026-03-07 14:54:47.377,RIOT-BLE-3,2190,,,,,,,-70
2026-03-07 14:54:47.424,RIOT-BLE-2,8377,,,,,,,-64
2026-03-07 14:54:47.457,RIOT-BLE-0,1231,,,,,,,-76
2026-03-07 14:54:47.477,RIOT-BLE-3,2191,,,,,,,-70
2026-03-07 14:54:47.488,RIOT-BLE-1,1252,,,,,,,-79
2026-03-07 14:54:47.524,RIOT-BLE-2,8378,,,,,,,-69
2026-03-07 14:54:47.556,RIOT-BLE-0,1232,,,,,,,-74
2026-03-07 14:54:47.577,RIOT-BLE-3,2192,,,,,,,-75
2026-03-07 14:54:47.588,RIOT-BLE-1,1253,,,,,,,-77
2026-03-07 14:54:47.590,RIOT-BLE-1,1258,,,,,,,-76
2026-03-07 14:54:47.624,RIOT-BLE-2,8379,,,,,,,-68
2026-03-07 14:54:47.657,RIOT-BLE-0,1233,,,,,,,-76
2026-03-07 14:54:47.677,RIOT-BLE-3,2193,,,,,,,-70
2026-03-07 14:54:47.724,RIOT-BLE-2,8380,,,,,,,-74
2026-03-07 14:54:47.777,RIOT-BLE-3,2194,,,,,,,-68
2026-03-07 14:54:47.788,RIOT-BLE-1,1259,,,,,,,-76
2026-03-07 14:54:47.807,RIOT-BLE-0,1234,,,,,,,-79
2026-03-07 14:54:47.824,RIOT-BLE-2,8381,,,,,,,-73
2026-03-07 14:54:47.877,RIOT-BLE-3,2195,,,,,,,-74
2026-03-07 14:54:47.924,RIOT-BLE-2,8382,,,,,,,-72
