experiment,task,model,split,test_env,seq_len,overlap,epochs,batch_size,learning_rate,train_acc,test_acc,test_f1_macro,train_loss,test_loss
env_seq100_ov40_leave_one_env_out_env4_cnn,env,cnn,leave_one_env_out,4.0,100,0.4,100,64,0.0001,0.6703882263384928,0.0,0.0,0.7845008132331295,2.359502817149186
env_seq100_ov50_leave_one_env_out_env4_cnn,env,cnn,leave_one_env_out,4.0,100,0.5,100,64,0.0001,0.6969953449005502,0.0,0.0,0.733325661262919,3.0044945393431046
env_seq500_ov40_leave_one_env_out_env4_cnn,env,cnn,leave_one_env_out,4.0,500,0.4,100,64,0.0001,0.5272020725388601,0.0,0.0,1.2356056623508276,1.7150857696678432
env_seq500_ov50_leave_one_env_out_env4_cnn,env,cnn,leave_one_env_out,4.0,500,0.5,100,64,0.0001,0.5604751619870411,0.0,0.0,1.138194036020316,1.665755033493042
env_seq1000_ov40_leave_one_env_out_env4_cnn,env,cnn,leave_one_env_out,4.0,1000,0.4,100,64,0.0001,0.5184210526315789,0.0,0.0,1.3211913573114495,1.6122841040293376
env_seq1000_ov50_leave_one_env_out_env4_cnn,env,cnn,leave_one_env_out,4.0,1000,0.5,100,64,0.0001,0.5011086474501109,0.0,0.0,1.3387131249561013,1.6227993540141894
env_seq100_ov40_random_cnn,env,cnn,random,,100,0.4,100,64,0.0001,0.8258290644378539,0.8367016976556184,0.8331516935056144,0.4702681683568371,0.47100627044081783
env_seq100_ov50_random_cnn,env,cnn,random,,100,0.5,100,64,0.0001,0.8206338503034389,0.8213081591368847,0.8202791222432644,0.4912689119463531,0.4900079921380298
env_seq500_ov40_random_cnn,env,cnn,random,,500,0.4,100,64,0.0001,0.7396694214876033,0.8065843621399177,0.8023953365014631,0.6209317460533016,0.5055197136392319
env_seq500_ov50_random_cnn,env,cnn,random,,500,0.5,100,64,0.0001,0.8140068886337543,0.8556701030927835,0.8533716768467345,0.5094288051402117,0.41962556863568495
env_seq1000_ov40_random_cnn,env,cnn,random,,1000,0.4,100,64,0.0001,0.7254901960784313,0.7983193277310925,0.7957257124086393,0.684050142932005,0.6111304754970455
env_seq1000_ov50_random_cnn,env,cnn,random,,1000,0.5,100,64,0.0001,0.7216981132075472,0.7605633802816901,0.7591894803162409,0.697107769408316,0.6312466733892199
env_seq100_ov40_leave_one_env_out_env4_resnet,env,resnet,leave_one_env_out,4.0,100,0.4,100,64,0.0001,0.8175589951788886,0.0,0.0,0.4516610752595496,2.8404849187651675
env_seq100_ov50_leave_one_env_out_env4_resnet,env,resnet,leave_one_env_out,4.0,100,0.5,100,64,0.0001,0.8446889547185781,0.0,0.0,0.4011851140265237,3.225266704907267
env_seq500_ov40_leave_one_env_out_env4_resnet,env,resnet,leave_one_env_out,4.0,500,0.4,100,64,0.0001,0.6489637305699482,0.0,0.0,0.9178027958449922,1.760329867377499
env_seq500_ov50_leave_one_env_out_env4_resnet,env,resnet,leave_one_env_out,4.0,500,0.5,100,64,0.0001,0.6533477321814255,0.0,0.0,0.8020240107056389,1.7371665178719213
env_seq1000_ov40_leave_one_env_out_env4_resnet,env,resnet,leave_one_env_out,4.0,1000,0.4,100,64,0.0001,0.6,0.0,0.0,1.0897797346115112,1.6265257199605305
env_seq1000_ov50_leave_one_env_out_env4_resnet,env,resnet,leave_one_env_out,4.0,1000,0.5,100,64,0.0001,0.6164079822616408,0.0,0.0,1.0794580688497708,1.6810782639876656
env_seq100_ov40_random_resnet,env,resnet,random,,100,0.4,100,64,0.0001,0.9336748449716905,0.8593371059013742,0.8579700949700383,0.1948104386551099,0.4246820527262136
env_seq100_ov50_random_resnet,env,resnet,random,,100,0.5,100,64,0.0001,0.9314452685996853,0.839514497639919,0.8380185428826387,0.20738888906880587,0.43376993258820945
env_seq500_ov40_random_resnet,env,resnet,random,,500,0.4,100,64,0.0001,0.9931129476584022,0.9506172839506173,0.945715302319076,0.07547238460913834,0.14393887040301115
env_seq500_ov50_random_resnet,env,resnet,random,,500,0.5,100,64,0.0001,0.9621125143513203,0.9690721649484536,0.9660067128329903,0.20403551730304853,0.19323576244291982
env_seq1000_ov40_random_resnet,env,resnet,random,,1000,0.4,100,64,0.0001,0.9747899159663865,0.9747899159663865,0.9710905928007494,0.15598405826659428,0.17848882291998183
env_seq1000_ov50_random_resnet,env,resnet,random,,1000,0.5,100,64,0.0001,0.9787735849056604,0.9859154929577465,0.9852403248685085,0.1344872052377125,0.18008580384120135
node_seq100_ov40_leave_one_env_out_env4_cnn,node,cnn,leave_one_env_out,4.0,100,0.4,100,64,0.0001,0.5714285714285714,0.13333333333333333,0.13701431492842536,0.9524356210876074,1.517890474452308
node_seq100_ov50_leave_one_env_out_env3_cnn,node,cnn,leave_one_env_out,3.0,100,0.5,20,64,0.001,0.6035233945823073,0.26266666666666666,0.25,0.8365389826307245,2.3807168706258137
node_seq100_ov50_leave_one_env_out_env4_cnn,node,cnn,leave_one_env_out,4.0,100,0.5,100,64,0.0001,0.6041049513330512,0.13018242122719734,0.13581314878892733,0.9038763568908846,1.514893278158324
node_seq500_ov40_leave_one_env_out_env4_cnn,node,cnn,leave_one_env_out,4.0,500,0.4,20,64,0.001,0.6424870466321243,0.20812182741116753,0.0861344537815126,0.8415910419404815,1.4147002303660823
node_seq500_ov50_leave_one_env_out_env4_cnn,node,cnn,leave_one_env_out,4.0,500,0.5,100,64,0.0001,0.4708423326133909,0.2076271186440678,0.08596491228070176,1.09259114950316,1.4090248124074127
node_seq1000_ov40_leave_one_env_out_env4_cnn,node,cnn,leave_one_env_out,4.0,1000,0.4,100,64,0.0001,0.47368421052631576,0.20833333333333334,0.08620689655172414,1.2028623254675614,1.3939509391784668
node_seq1000_ov50_leave_one_env_out_env4_cnn,node,cnn,leave_one_env_out,4.0,1000,0.5,100,64,0.0001,0.49889135254988914,0.4434782608695652,0.364406779661017,1.1878089426362066,1.3855571798656299
node_seq100_ov40_random_cnn,node,cnn,random,,100,0.4,100,64,0.0001,0.8128875707737935,0.8019401778496362,0.7993286003321075,0.500752351031081,0.5139151460332262
node_seq100_ov50_random_cnn,node,cnn,random,,100,0.5,100,64,0.0001,0.7599460552933244,0.7700606877950101,0.7673365275485826,0.6027668125041551,0.5694184172659892
node_seq500_ov40_random_cnn,node,cnn,random,,500,0.4,100,64,0.0001,0.768595041322314,0.8024691358024691,0.8015678254839875,0.6249861835448209,0.584177147949674
node_seq500_ov50_random_cnn,node,cnn,random,,500,0.5,100,64,0.0001,0.7887485648679678,0.7800687285223368,0.7680147389575562,0.564198992419325,0.6273549791054218
node_seq1000_ov40_random_cnn,node,cnn,random,,1000,0.4,100,64,0.0001,0.6638655462184874,0.5714285714285714,0.5663091742100854,0.8083679343805927,0.8501704585652391
node_seq1000_ov50_random_cnn,node,cnn,random,,1000,0.5,100,64,0.0001,0.7193396226415094,0.7816901408450704,0.7786921820010055,0.7497912217985909,0.6978363067331449
node_seq100_ov40_leave_one_env_out_env4_resnet,node,resnet,leave_one_env_out,4.0,100,0.4,100,64,0.0001,0.7515858919056078,0.17213930348258707,0.07545352838712419,0.5939335853458813,1.6884647455974597
