ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-06 15:52:39.607,RIOT-BLE-3,3145,,,,,,,-74
2026-03-06 15:52:39.608,RIOT-BLE-3,3146,,,,,,,-78
2026-03-06 15:52:39.609,RIOT-BLE-2,4592,,,,,,,-78
2026-03-06 15:52:39.610,RIOT-BLE-2,4593,,,,,,,-76
2026-03-06 15:52:39.610,RIOT-BLE-2,4594,,,,,,,-76
2026-03-06 15:52:39.612,RIOT-BLE-2,4595,,,,,,,-73
2026-03-06 15:52:39.612,RIOT-BLE-3,3147,,,,,,,-76
2026-03-06 15:52:39.613,RIOT-BLE-3,3148,,,,,,,-74
2026-03-06 15:52:39.613,RIOT-BLE-3,3149,,,,,,,-73
2026-03-06 15:52:39.614,RIOT-BLE-2,4596,,,,,,,-76
2026-03-06 15:52:39.614,RIOT-BLE-3,3150,,,,,,,-77
2026-03-06 15:52:39.615,RIOT-BLE-3,3151,,,,,,,-77
2026-03-06 15:52:39.616,RIOT-BLE-2,4597,,,,,,,-78
2026-03-06 15:52:39.616,RIOT-BLE-2,4598,,,,,,,-78
2026-03-06 15:52:39.616,RIOT-BLE-3,3152,,,,,,,-75
2026-03-06 15:52:39.618,RIOT-BLE-3,3153,,,,,,,-74
2026-03-06 15:52:39.618,RIOT-BLE-2,4600,,,,,,,-80
2026-03-06 15:52:39.619,RIOT-BLE-3,3154,,,,,,,-76
2026-03-06 15:52:39.619,RIOT-BLE-2,4601,,,,,,,-74
2026-03-06 15:52:39.647,RIOT-BLE-3,3155,,,,,,,-73
2026-03-06 15:52:39.732,RIOT-BLE-2,4602,,,,,,,-75
2026-03-06 15:52:39.747,RIOT-BLE-3,3156,,,,,,,-78
2026-03-06 15:52:39.781,RIOT-BLE-2,4603,,,,,,,-76
2026-03-06 15:52:39.881,RIOT-BLE-2,4604,,,,,,,-77
2026-03-06 15:52:39.947,RIOT-BLE-3,3157,,,,,,,-75
2026-03-06 15:52:39.949,RIOT-BLE-3,3158,,,,,,,-73
2026-03-06 15:52:39.981,RIOT-BLE-2,4605,,,,,,,-77
2026-03-06 15:52:40.047,RIOT-BLE-3,3159,,,,,,,-77
2026-03-06 15:52:40.132,RIOT-BLE-2,4606,,,,,,,-74
2026-03-06 15:52:40.147,RIOT-BLE-3,3160,,,,,,,-76
2026-03-06 15:52:40.232,RIOT-BLE-2,4607,,,,,,,-76
2026-03-06 15:52:40.251,RIOT-BLE-3,3161,,,,,,,-76
2026-03-06 15:52:40.284,RIOT-BLE-2,4608,,,,,,,-78
2026-03-06 15:52:40.386,RIOT-BLE-2,4609,,,,,,,-75
2026-03-06 15:52:40.469,RIOT-BLE-1,639,,,,,,,-77
2026-03-06 15:52:40.497,RIOT-BLE-3,3162,,,,,,,-76
2026-03-06 15:52:40.499,RIOT-BLE-3,3163,,,,,,,-76
2026-03-06 15:52:40.647,RIOT-BLE-3,3164,,,,,,,-77
2026-03-06 15:52:40.670,RIOT-BLE-1,649,,,,,,,-81
2026-03-06 15:52:40.681,RIOT-BLE-2,4610,,,,,,,-76
2026-03-06 15:52:40.684,RIOT-BLE-2,4611,,,,,,,-75
2026-03-06 15:52:40.720,RIOT-BLE-1,662,,,,,,,-75
2026-03-06 15:52:40.722,RIOT-BLE-1,664,,,,,,,-74
2026-03-06 15:52:40.747,RIOT-BLE-3,3165,,,,,,,-81
2026-03-06 15:52:40.781,RIOT-BLE-2,4613,,,,,,,-76
2026-03-06 15:52:40.800,RIOT-BLE-3,3166,,,,,,,-78
2026-03-06 15:52:40.882,RIOT-BLE-2,4614,,,,,,,-75
2026-03-06 15:52:41.032,RIOT-BLE-2,4615,,,,,,,-75
2026-03-06 15:52:41.203,RIOT-BLE-3,3167,,,,,,,-79
2026-03-06 15:52:41.335,RIOT-BLE-2,4616,,,,,,,-75
2026-03-06 15:52:41.336,RIOT-BLE-2,4617,,,,,,,-75
2026-03-06 15:52:41.347,RIOT-BLE-3,3168,,,,,,,-74
2026-03-06 15:52:41.349,RIOT-BLE-3,3171,,,,,,,-74
2026-03-06 15:52:41.448,RIOT-BLE-3,3172,,,,,,,-79
2026-03-06 15:52:41.497,RIOT-BLE-3,3173,,,,,,,-77
2026-03-06 15:52:41.532,RIOT-BLE-2,4619,,,,,,,-77
2026-03-06 15:52:41.534,RIOT-BLE-2,4620,,,,,,,-75
2026-03-06 15:52:41.632,RIOT-BLE-2,4621,,,,,,,-75
2026-03-06 15:52:41.732,RIOT-BLE-2,4622,,,,,,,-76
2026-03-06 15:52:41.833,RIOT-BLE-2,4623,,,,,,,-73
2026-03-06 15:52:41.882,RIOT-BLE-2,4624,,,,,,,-76
2026-03-06 15:52:41.898,RIOT-BLE-3,3174,,,,,,,-79
2026-03-06 15:52:41.900,RIOT-BLE-3,3175,,,,,,,-78
2026-03-06 15:52:42.148,RIOT-BLE-3,3178,,,,,,,-74
2026-03-06 15:52:42.151,RIOT-BLE-3,3179,,,,,,,-74
2026-03-06 15:52:42.254,RIOT-BLE-3,3180,,,,,,,-74
2026-03-06 15:52:42.347,RIOT-BLE-3,3181,,,,,,,-77
2026-03-06 15:52:42.382,RIOT-BLE-2,4625,,,,,,,-76
2026-03-06 15:52:42.384,RIOT-BLE-2,4626,,,,,,,-75
2026-03-06 15:52:42.397,RIOT-BLE-3,3182,,,,,,,-79
2026-03-06 15:52:42.482,RIOT-BLE-2,4630,,,,,,,-75
2026-03-06 15:52:42.498,RIOT-BLE-3,3183,,,,,,,-74
2026-03-06 15:52:42.582,RIOT-BLE-2,4631,,,,,,,-75
2026-03-06 15:52:42.597,RIOT-BLE-3,3184,,,,,,,-76
2026-03-06 15:52:42.732,RIOT-BLE-2,4632,,,,,,,-78
2026-03-06 15:52:42.832,RIOT-BLE-2,4633,,,,,,,-75
2026-03-06 15:52:42.847,RIOT-BLE-3,3185,,,,,,,-77
2026-03-06 15:52:42.850,RIOT-BLE-3,3186,,,,,,,-76
2026-03-06 15:52:42.898,RIOT-BLE-3,3187,,,,,,,-78
2026-03-06 15:52:43.048,RIOT-BLE-3,3188,,,,,,,-76
2026-03-06 15:52:43.098,RIOT-BLE-3,3189,,,,,,,-74
2026-03-06 15:52:43.382,RIOT-BLE-2,4634,,,,,,,-78
2026-03-06 15:52:43.385,RIOT-BLE-2,4635,,,,,,,-78
2026-03-06 15:52:43.498,RIOT-BLE-3,3190,,,,,,,-74
2026-03-06 15:52:43.500,RIOT-BLE-3,3191,,,,,,,-74
2026-03-06 15:52:43.582,RIOT-BLE-2,4640,,,,,,,-77
2026-03-06 15:52:43.585,RIOT-BLE-2,4641,,,,,,,-78
2026-03-06 15:52:43.598,RIOT-BLE-3,3194,,,,,,,-75
2026-03-06 15:52:43.683,RIOT-BLE-2,4642,,,,,,,-77
2026-03-06 15:52:43.748,RIOT-BLE-3,3195,,,,,,,-72
2026-03-06 15:52:43.832,RIOT-BLE-2,4643,,,,,,,-76
2026-03-06 15:52:43.848,RIOT-BLE-3,3196,,,,,,,-78
2026-03-06 15:52:44.098,RIOT-BLE-3,3197,,,,,,,-76
2026-03-06 15:52:44.133,RIOT-BLE-2,4644,,,,,,,-73
2026-03-06 15:52:44.135,RIOT-BLE-2,4645,,,,,,,-72
2026-03-06 15:52:44.183,RIOT-BLE-2,4647,,,,,,,-77
2026-03-06 15:52:44.383,RIOT-BLE-2,4648,,,,,,,-77
2026-03-06 15:52:44.385,RIOT-BLE-2,4649,,,,,,,-78
2026-03-06 15:52:44.448,RIOT-BLE-3,3198,,,,,,,-75
2026-03-06 15:52:44.450,RIOT-BLE-3,3200,,,,,,,-76
2026-03-06 15:52:44.498,RIOT-BLE-3,3203,,,,,,,-76
2026-03-06 15:52:44.533,RIOT-BLE-2,4650,,,,,,,-74
2026-03-06 15:52:44.633,RIOT-BLE-2,4651,,,,,,,-72
2026-03-06 15:52:44.701,RIOT-BLE-3,3204,,,,,,,-76
2026-03-06 15:52:44.704,RIOT-BLE-3,3205,,,,,,,-76
2026-03-06 15:52:44.798,RIOT-BLE-3,3206,,,,,,,-75
2026-03-06 15:52:44.898,RIOT-BLE-3,3207,,,,,,,-76
2026-03-06 15:52:44.933,RIOT-BLE-2,4652,,,,,,,-79
2026-03-06 15:52:44.935,RIOT-BLE-2,4653,,,,,,,-78
2026-03-06 15:52:44.998,RIOT-BLE-3,3208,,,,,,,-78
2026-03-06 15:52:45.033,RIOT-BLE-2,4655,,,,,,,-80
2026-03-06 15:52:45.148,RIOT-BLE-3,3209,,,,,,,-76
2026-03-06 15:52:45.198,RIOT-BLE-3,3210,,,,,,,-79
2026-03-06 15:52:45.233,RIOT-BLE-2,4656,,,,,,,-81
