ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-06 17:54:06.573,RIOT-BLE-0,6575,,,,,,,-77
2026-03-06 17:54:06.573,RIOT-BLE-3,597,,,,,,,-72
2026-03-06 17:54:06.574,RIOT-BLE-2,12509,,,,,,,-72
2026-03-06 17:54:06.574,RIOT-BLE-2,12510,,,,,,,-74
2026-03-06 17:54:06.574,RIOT-BLE-3,598,,,,,,,-73
2026-03-06 17:54:06.574,RIOT-BLE-0,6576,,,,,,,-73
2026-03-06 17:54:06.574,RIOT-BLE-0,6577,,,,,,,-73
2026-03-06 17:54:06.575,RIOT-BLE-0,6578,,,,,,,-73
2026-03-06 17:54:06.575,RIOT-BLE-1,10009,,,,,,,-73
2026-03-06 17:54:06.575,RIOT-BLE-1,10010,,,,,,,-73
2026-03-06 17:54:06.575,RIOT-BLE-0,6579,,,,,,,-76
2026-03-06 17:54:06.575,RIOT-BLE-0,6580,,,,,,,-75
2026-03-06 17:54:06.575,RIOT-BLE-2,12511,,,,,,,-74
2026-03-06 17:54:06.575,RIOT-BLE-2,12512,,,,,,,-74
2026-03-06 17:54:06.576,RIOT-BLE-3,599,,,,,,,-72
2026-03-06 17:54:06.576,RIOT-BLE-3,600,,,,,,,-73
2026-03-06 17:54:06.576,RIOT-BLE-2,12516,,,,,,,-75
2026-03-06 17:54:06.576,RIOT-BLE-2,12517,,,,,,,-75
2026-03-06 17:54:06.576,RIOT-BLE-3,604,,,,,,,-72
2026-03-06 17:54:06.576,RIOT-BLE-3,605,,,,,,,-72
2026-03-06 17:54:06.576,RIOT-BLE-0,6582,,,,,,,-73
2026-03-06 17:54:06.577,RIOT-BLE-0,6583,,,,,,,-74
2026-03-06 17:54:06.577,RIOT-BLE-1,10014,,,,,,,-77
2026-03-06 17:54:06.577,RIOT-BLE-1,10015,,,,,,,-77
2026-03-06 17:54:06.577,RIOT-BLE-1,10018,,,,,,,-72
2026-03-06 17:54:06.577,RIOT-BLE-3,606,,,,,,,-73
2026-03-06 17:54:06.577,RIOT-BLE-0,6585,,,,,,,-74
2026-03-06 17:54:06.689,RIOT-BLE-3,607,,,,,,,-77
2026-03-06 17:54:06.696,RIOT-BLE-0,6586,,,,,,,-81
2026-03-06 17:54:06.740,RIOT-BLE-3,608,,,,,,,-74
2026-03-06 17:54:06.746,RIOT-BLE-0,6587,,,,,,,-75
2026-03-06 17:54:06.840,RIOT-BLE-3,609,,,,,,,-74
2026-03-06 17:54:06.896,RIOT-BLE-0,6588,,,,,,,-74
2026-03-06 17:54:06.940,RIOT-BLE-3,610,,,,,,,-74
2026-03-06 17:54:06.974,RIOT-BLE-1,10019,,,,,,,-76
2026-03-06 17:54:07.040,RIOT-BLE-3,611,,,,,,,-73
2026-03-06 17:54:07.096,RIOT-BLE-0,6589,,,,,,,-73
2026-03-06 17:54:07.098,RIOT-BLE-0,6590,,,,,,,-73
2026-03-06 17:54:07.140,RIOT-BLE-3,612,,,,,,,-73
2026-03-06 17:54:07.185,RIOT-BLE-2,12518,,,,,,,-74
2026-03-06 17:54:07.187,RIOT-BLE-2,12519,,,,,,,-74
2026-03-06 17:54:07.196,RIOT-BLE-0,6591,,,,,,,-77
2026-03-06 17:54:07.290,RIOT-BLE-3,613,,,,,,,-70
2026-03-06 17:54:07.339,RIOT-BLE-3,614,,,,,,,-74
2026-03-06 17:54:07.373,RIOT-BLE-1,10020,,,,,,,-77
2026-03-06 17:54:07.384,RIOT-BLE-2,12525,,,,,,,-75
2026-03-06 17:54:07.387,RIOT-BLE-2,12526,,,,,,,-77
2026-03-06 17:54:07.440,RIOT-BLE-3,615,,,,,,,-74
2026-03-06 17:54:07.446,RIOT-BLE-0,6592,,,,,,,-75
2026-03-06 17:54:07.449,RIOT-BLE-0,6593,,,,,,,-75
2026-03-06 17:54:07.524,RIOT-BLE-1,10023,,,,,,,-74
2026-03-06 17:54:07.526,RIOT-BLE-1,10027,,,,,,,-73
2026-03-06 17:54:07.634,RIOT-BLE-2,12527,,,,,,,-76
2026-03-06 17:54:07.637,RIOT-BLE-2,12528,,,,,,,-75
2026-03-06 17:54:07.639,RIOT-BLE-3,616,,,,,,,-72
2026-03-06 17:54:07.642,RIOT-BLE-3,617,,,,,,,-73
2026-03-06 17:54:07.696,RIOT-BLE-0,6595,,,,,,,-75
2026-03-06 17:54:07.698,RIOT-BLE-0,6596,,,,,,,-77
2026-03-06 17:54:07.723,RIOT-BLE-1,10029,,,,,,,-75
2026-03-06 17:54:07.726,RIOT-BLE-1,10030,,,,,,,-74
2026-03-06 17:54:07.796,RIOT-BLE-0,6597,,,,,,,-75
2026-03-06 17:54:07.834,RIOT-BLE-2,12530,,,,,,,-74
2026-03-06 17:54:07.837,RIOT-BLE-2,12531,,,,,,,-75
2026-03-06 17:54:07.896,RIOT-BLE-0,6598,,,,,,,-77
2026-03-06 17:54:07.974,RIOT-BLE-1,10031,,,,,,,-73
2026-03-06 17:54:07.976,RIOT-BLE-1,10032,,,,,,,-74
2026-03-06 17:54:08.035,RIOT-BLE-2,12532,,,,,,,-76
2026-03-06 17:54:08.038,RIOT-BLE-2,12533,,,,,,,-76
2026-03-06 17:54:08.124,RIOT-BLE-1,10033,,,,,,,-75
2026-03-06 17:54:08.126,RIOT-BLE-1,10034,,,,,,,-76
2026-03-06 17:54:08.139,RIOT-BLE-3,618,,,,,,,-72
2026-03-06 17:54:08.142,RIOT-BLE-3,619,,,,,,,-72
2026-03-06 17:54:08.390,RIOT-BLE-3,623,,,,,,,-76
2026-03-06 17:54:08.392,RIOT-BLE-3,624,,,,,,,-76
2026-03-06 17:54:08.435,RIOT-BLE-2,12534,,,,,,,-76
2026-03-06 17:54:08.437,RIOT-BLE-2,12535,,,,,,,-75
2026-03-06 17:54:08.474,RIOT-BLE-1,10035,,,,,,,-75
2026-03-06 17:54:08.476,RIOT-BLE-1,10036,,,,,,,-76
2026-03-06 17:54:08.489,RIOT-BLE-3,625,,,,,,,-69
2026-03-06 17:54:08.524,RIOT-BLE-1,10038,,,,,,,-75
2026-03-06 17:54:08.546,RIOT-BLE-0,6599,,,,,,,-75
2026-03-06 17:54:08.548,RIOT-BLE-0,6600,,,,,,,-76
2026-03-06 17:54:08.585,RIOT-BLE-2,12538,,,,,,,-74
2026-03-06 17:54:08.589,RIOT-BLE-3,626,,,,,,,-74
2026-03-06 17:54:08.646,RIOT-BLE-0,6605,,,,,,,-75
2026-03-06 17:54:08.685,RIOT-BLE-2,12539,,,,,,,-76
2026-03-06 17:54:08.790,RIOT-BLE-3,627,,,,,,,-78
2026-03-06 17:54:08.896,RIOT-BLE-0,6606,,,,,,,-74
2026-03-06 17:54:08.898,RIOT-BLE-0,6607,,,,,,,-74
2026-03-06 17:54:08.939,RIOT-BLE-3,628,,,,,,,-80
2026-03-06 17:54:08.974,RIOT-BLE-1,10039,,,,,,,-78
2026-03-06 17:54:08.990,RIOT-BLE-3,629,,,,,,,-72
2026-03-06 17:54:08.992,RIOT-BLE-3,630,,,,,,,-71
2026-03-06 17:54:08.997,RIOT-BLE-0,6609,,,,,,,-75
2026-03-06 17:54:09.094,RIOT-BLE-3,631,,,,,,,-77
2026-03-06 17:54:09.135,RIOT-BLE-2,12540,,,,,,,-76
2026-03-06 17:54:09.137,RIOT-BLE-2,12541,,,,,,,-76
2026-03-06 17:54:09.185,RIOT-BLE-2,12544,,,,,,,-75
2026-03-06 17:54:09.240,RIOT-BLE-3,632,,,,,,,-73
2026-03-06 17:54:09.324,RIOT-BLE-1,10040,,,,,,,-77
2026-03-06 17:54:09.340,RIOT-BLE-3,633,,,,,,,-72
2026-03-06 17:54:09.424,RIOT-BLE-1,10043,,,,,,,-74
2026-03-06 17:54:09.426,RIOT-BLE-1,10047,,,,,,,-74
2026-03-06 17:54:09.489,RIOT-BLE-3,634,,,,,,,-76
2026-03-06 17:54:09.492,RIOT-BLE-3,635,,,,,,,-75
2026-03-06 17:54:09.535,RIOT-BLE-2,12545,,,,,,,-78
2026-03-06 17:54:09.538,RIOT-BLE-2,12546,,,,,,,-78
2026-03-06 17:54:09.585,RIOT-BLE-2,12548,,,,,,,-82
2026-03-06 17:54:09.624,RIOT-BLE-1,10048,,,,,,,-78
2026-03-06 17:54:09.639,RIOT-BLE-3,636,,,,,,,-74
2026-03-06 17:54:09.689,RIOT-BLE-3,637,,,,,,,-73
2026-03-06 17:54:09.747,RIOT-BLE-0,6610,,,,,,,-78
2026-03-06 17:54:09.749,RIOT-BLE-0,6611,,,,,,,-77
2026-03-06 17:54:09.790,RIOT-BLE-3,638,,,,,,,-73
2026-03-06 17:54:09.885,RIOT-BLE-2,12549,,,,,,,-78
2026-03-06 17:54:09.940,RIOT-BLE-3,639,,,,,,,-79
2026-03-06 17:54:09.974,RIOT-BLE-1,10049,,,,,,,-72
2026-03-06 17:54:09.976,RIOT-BLE-1,10050,,,,,,,-73
2026-03-06 17:54:09.990,RIOT-BLE-3,640,,,,,,,-72
2026-03-06 17:54:10.035,RIOT-BLE-2,12550,,,,,,,-76
2026-03-06 17:54:10.037,RIOT-BLE-2,12552,,,,,,,-76
2026-03-06 17:54:10.135,RIOT-BLE-2,12553,,,,,,,-73
2026-03-06 17:54:10.146,RIOT-BLE-0,6617,,,,,,,-76
2026-03-06 17:54:10.174,RIOT-BLE-1,10053,,,,,,,-76
2026-03-06 17:54:10.176,RIOT-BLE-1,10054,,,,,,,-76
2026-03-06 17:54:10.189,RIOT-BLE-3,641,,,,,,,-76
2026-03-06 17:54:10.290,RIOT-BLE-3,642,,,,,,,-75
2026-03-06 17:54:10.292,RIOT-BLE-3,643,,,,,,,-75
2026-03-06 17:54:10.335,RIOT-BLE-2,12554,,,,,,,-77
2026-03-06 17:54:10.337,RIOT-BLE-2,12555,,,,,,,-78
2026-03-06 17:54:10.390,RIOT-BLE-3,644,,,,,,,-72
2026-03-06 17:54:10.490,RIOT-BLE-3,645,,,,,,,-77
