ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-07 17:39:13.750,RIOT-BLE-0,38071,,,,,,,-78
2026-03-07 17:39:13.751,RIOT-BLE-1,1971,,,,,,,-66
2026-03-07 17:39:13.752,RIOT-BLE-2,1073,,,,,,,-79
2026-03-07 17:39:13.752,RIOT-BLE-3,36467,,,,,,,-76
2026-03-07 17:39:13.753,RIOT-BLE-0,38072,,,,,,,-74
2026-03-07 17:39:13.753,RIOT-BLE-1,1972,,,,,,,-63
2026-03-07 17:39:13.753,RIOT-BLE-2,1074,,,,,,,-77
2026-03-07 17:39:13.754,RIOT-BLE-3,36468,,,,,,,-74
2026-03-07 17:39:13.754,RIOT-BLE-0,38073,,,,,,,-75
2026-03-07 17:39:13.754,RIOT-BLE-1,1973,,,,,,,-67
2026-03-07 17:39:13.754,RIOT-BLE-2,1075,,,,,,,-76
2026-03-07 17:39:13.755,RIOT-BLE-3,36469,,,,,,,-77
2026-03-07 17:39:13.755,RIOT-BLE-0,38074,,,,,,,-73
2026-03-07 17:39:13.755,RIOT-BLE-1,1974,,,,,,,-66
2026-03-07 17:39:13.755,RIOT-BLE-2,1076,,,,,,,-73
2026-03-07 17:39:13.756,RIOT-BLE-0,38075,,,,,,,-77
2026-03-07 17:39:13.756,RIOT-BLE-1,1975,,,,,,,-65
2026-03-07 17:39:13.756,RIOT-BLE-2,1077,,,,,,,-74
2026-03-07 17:39:13.756,RIOT-BLE-3,36470,,,,,,,-75
2026-03-07 17:39:13.757,RIOT-BLE-3,36471,,,,,,,-75
2026-03-07 17:39:13.757,RIOT-BLE-1,1976,,,,,,,-64
2026-03-07 17:39:13.757,RIOT-BLE-0,38076,,,,,,,-76
2026-03-07 17:39:13.758,RIOT-BLE-0,38077,,,,,,,-76
2026-03-07 17:39:13.758,RIOT-BLE-1,1977,,,,,,,-67
2026-03-07 17:39:13.758,RIOT-BLE-3,36472,,,,,,,-78
2026-03-07 17:39:13.758,RIOT-BLE-2,1078,,,,,,,-75
2026-03-07 17:39:13.759,RIOT-BLE-2,1079,,,,,,,-75
2026-03-07 17:39:13.759,RIOT-BLE-0,38078,,,,,,,-79
2026-03-07 17:39:13.759,RIOT-BLE-1,1978,,,,,,,-66
2026-03-07 17:39:13.759,RIOT-BLE-3,36473,,,,,,,-73
2026-03-07 17:39:13.760,RIOT-BLE-2,1080,,,,,,,-78
2026-03-07 17:39:13.760,RIOT-BLE-0,38079,,,,,,,-76
2026-03-07 17:39:13.760,RIOT-BLE-1,1979,,,,,,,-66
2026-03-07 17:39:13.760,RIOT-BLE-3,36474,,,,,,,-76
