ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi,environment
2026-03-06 16:34:03.305,RIOT-BLE-1,5451,,,,,,,-72,bridge
2026-03-06 16:34:03.403,RIOT-BLE-1,5452,,,,,,,-72,bridge
2026-03-06 16:34:03.503,RIOT-BLE-1,5453,,,,,,,-74,bridge
2026-03-06 16:34:03.653,RIOT-BLE-1,5454,,,,,,,-79,bridge
2026-03-06 16:34:03.703,RIOT-BLE-1,5455,,,,,,,-78,bridge
2026-03-06 16:34:03.803,RIOT-BLE-1,5456,,,,,,,-74,bridge
2026-03-06 16:34:03.904,RIOT-BLE-1,5457,,,,,,,-71,bridge
2026-03-06 16:34:04.003,RIOT-BLE-1,5458,,,,,,,-71,bridge
2026-03-06 16:34:04.104,RIOT-BLE-1,5459,,,,,,,-74,bridge
2026-03-06 16:34:04.203,RIOT-BLE-1,5460,,,,,,,-69,bridge
2026-03-06 16:34:04.358,RIOT-BLE-1,5461,,,,,,,-73,bridge
2026-03-06 16:34:04.453,RIOT-BLE-1,5462,,,,,,,-82,bridge
2026-03-06 16:34:04.503,RIOT-BLE-1,5463,,,,,,,-75,bridge
2026-03-06 16:34:04.603,RIOT-BLE-1,5464,,,,,,,-78,bridge
2026-03-06 16:34:04.703,RIOT-BLE-1,5465,,,,,,,-73,bridge
2026-03-06 16:34:04.853,RIOT-BLE-1,5466,,,,,,,-79,bridge
2026-03-06 16:34:04.903,RIOT-BLE-1,5467,,,,,,,-78,bridge
2026-03-06 16:34:05.053,RIOT-BLE-1,5468,,,,,,,-80,bridge
2026-03-06 16:34:05.103,RIOT-BLE-1,5469,,,,,,,-79,bridge
2026-03-06 16:34:05.203,RIOT-BLE-1,5470,,,,,,,-71,bridge
2026-03-06 16:34:05.304,RIOT-BLE-1,5471,,,,,,,-77,bridge
2026-03-06 16:34:05.403,RIOT-BLE-1,5472,,,,,,,-72,bridge
2026-03-06 16:34:05.553,RIOT-BLE-1,5473,,,,,,,-75,bridge
2026-03-06 16:34:05.653,RIOT-BLE-1,5474,,,,,,,-76,bridge
2026-03-06 16:34:05.703,RIOT-BLE-1,5475,,,,,,,-74,bridge
2026-03-06 16:34:05.853,RIOT-BLE-1,5476,,,,,,,-70,bridge
2026-03-06 16:34:06.053,RIOT-BLE-1,5477,,,,,,,-77,bridge
2026-03-06 16:34:06.056,RIOT-BLE-1,5478,,,,,,,-78,bridge
2026-03-06 16:34:06.103,RIOT-BLE-1,5479,,,,,,,-72,bridge
2026-03-06 16:34:06.204,RIOT-BLE-1,5480,,,,,,,-81,bridge
2026-03-06 16:34:06.303,RIOT-BLE-1,5481,,,,,,,-76,bridge
2026-03-06 16:34:06.404,RIOT-BLE-1,5482,,,,,,,-75,bridge
2026-03-06 16:34:06.554,RIOT-BLE-1,5483,,,,,,,-74,bridge
2026-03-06 16:34:06.654,RIOT-BLE-1,5484,,,,,,,-70,bridge
2026-03-06 16:34:06.754,RIOT-BLE-1,5485,,,,,,,-70,bridge
2026-03-06 16:34:06.854,RIOT-BLE-1,5486,,,,,,,-71,bridge
2026-03-06 16:34:07.010,RIOT-BLE-1,5487,,,,,,,-74,bridge
2026-03-06 16:34:07.054,RIOT-BLE-1,5488,,,,,,,-71,bridge
2026-03-06 16:34:07.154,RIOT-BLE-1,5489,,,,,,,-78,bridge
2026-03-06 16:34:07.404,RIOT-BLE-1,5490,,,,,,,-72,bridge
2026-03-06 16:34:07.406,RIOT-BLE-1,5491,,,,,,,-73,bridge
2026-03-06 16:34:07.454,RIOT-BLE-1,5492,,,,,,,-70,bridge
2026-03-06 16:34:07.654,RIOT-BLE-1,5493,,,,,,,-80,bridge
2026-03-06 16:34:07.656,RIOT-BLE-1,5494,,,,,,,-81,bridge
2026-03-06 16:34:07.754,RIOT-BLE-1,5495,,,,,,,-74,bridge
2026-03-06 16:34:07.859,RIOT-BLE-1,5496,,,,,,,-76,bridge
2026-03-06 16:34:07.954,RIOT-BLE-1,5497,,,,,,,-69,bridge
2026-03-06 16:34:08.104,RIOT-BLE-1,5498,,,,,,,-70,bridge
2026-03-06 16:34:08.254,RIOT-BLE-1,5499,,,,,,,-83,bridge
2026-03-06 16:34:08.304,RIOT-BLE-1,5500,,,,,,,-73,bridge
2026-03-06 16:34:08.454,RIOT-BLE-1,5501,,,,,,,-73,bridge
2026-03-06 16:34:08.456,RIOT-BLE-1,5502,,,,,,,-73,bridge
2026-03-06 16:34:08.554,RIOT-BLE-1,5503,,,,,,,-75,bridge
2026-03-06 16:34:08.654,RIOT-BLE-1,5504,,,,,,,-77,bridge
2026-03-06 16:34:08.754,RIOT-BLE-1,5505,,,,,,,-73,bridge
2026-03-06 16:34:08.854,RIOT-BLE-1,5506,,,,,,,-74,bridge
2026-03-06 16:34:09.054,RIOT-BLE-1,5507,,,,,,,-77,bridge
2026-03-06 16:34:09.056,RIOT-BLE-1,5508,,,,,,,-77,bridge
2026-03-06 16:34:09.154,RIOT-BLE-1,5509,,,,,,,-75,bridge
2026-03-06 16:34:09.254,RIOT-BLE-1,5510,,,,,,,-68,bridge
2026-03-06 16:34:09.354,RIOT-BLE-1,5511,,,,,,,-78,bridge
2026-03-06 16:34:09.454,RIOT-BLE-1,5512,,,,,,,-71,bridge
2026-03-06 16:34:09.554,RIOT-BLE-1,5513,,,,,,,-76,bridge
2026-03-06 16:34:09.704,RIOT-BLE-1,5514,,,,,,,-73,bridge
2026-03-06 16:34:09.854,RIOT-BLE-1,5515,,,,,,,-75,bridge
2026-03-06 16:34:09.856,RIOT-BLE-1,5516,,,,,,,-75,bridge
2026-03-06 16:34:10.004,RIOT-BLE-1,5517,,,,,,,-76,bridge
2026-03-06 16:34:10.204,RIOT-BLE-1,5518,,,,,,,-72,bridge
2026-03-06 16:34:10.206,RIOT-BLE-1,5519,,,,,,,-71,bridge
2026-03-06 16:34:10.254,RIOT-BLE-1,5520,,,,,,,-71,bridge
2026-03-06 16:34:10.354,RIOT-BLE-1,5521,,,,,,,-76,bridge
2026-03-06 16:34:10.504,RIOT-BLE-1,5522,,,,,,,-72,bridge
2026-03-06 16:34:10.554,RIOT-BLE-1,5523,,,,,,,-77,bridge
2026-03-06 16:34:11.004,RIOT-BLE-1,5524,,,,,,,-77,bridge
2026-03-06 16:34:11.006,RIOT-BLE-1,5525,,,,,,,-76,bridge
2026-03-06 16:34:11.104,RIOT-BLE-1,5528,,,,,,,-75,bridge
2026-03-06 16:34:11.154,RIOT-BLE-1,5529,,,,,,,-76,bridge
