ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-06 16:34:03.305,RIOT-BLE-1,5451,,,,,,,-72
2026-03-06 16:34:03.312,RIOT-BLE-0,16429,,,,,,,-72
2026-03-06 16:34:03.317,RIOT-BLE-3,5340,,,,,,,-58
2026-03-06 16:34:03.403,RIOT-BLE-1,5452,,,,,,,-72
2026-03-06 16:34:03.417,RIOT-BLE-3,5341,,,,,,,-57
2026-03-06 16:34:03.463,RIOT-BLE-0,16430,,,,,,,-78
2026-03-06 16:34:03.503,RIOT-BLE-1,5453,,,,,,,-74
2026-03-06 16:34:03.512,RIOT-BLE-0,16431,,,,,,,-71
2026-03-06 16:34:03.517,RIOT-BLE-3,5342,,,,,,,-58
2026-03-06 16:34:03.612,RIOT-BLE-0,16432,,,,,,,-77
2026-03-06 16:34:03.617,RIOT-BLE-3,5343,,,,,,,-59
2026-03-06 16:34:03.653,RIOT-BLE-1,5454,,,,,,,-79
2026-03-06 16:34:03.703,RIOT-BLE-1,5455,,,,,,,-78
2026-03-06 16:34:03.712,RIOT-BLE-0,16433,,,,,,,-76
2026-03-06 16:34:03.717,RIOT-BLE-3,5344,,,,,,,-61
2026-03-06 16:34:03.803,RIOT-BLE-1,5456,,,,,,,-74
2026-03-06 16:34:03.812,RIOT-BLE-0,16434,,,,,,,-72
2026-03-06 16:34:03.817,RIOT-BLE-3,5345,,,,,,,-65
2026-03-06 16:34:03.904,RIOT-BLE-1,5457,,,,,,,-71
2026-03-06 16:34:03.917,RIOT-BLE-3,5346,,,,,,,-71
2026-03-06 16:34:03.962,RIOT-BLE-0,16435,,,,,,,-72
2026-03-06 16:34:04.003,RIOT-BLE-1,5458,,,,,,,-71
2026-03-06 16:34:04.012,RIOT-BLE-0,16436,,,,,,,-77
2026-03-06 16:34:04.017,RIOT-BLE-3,5347,,,,,,,-62
2026-03-06 16:34:04.104,RIOT-BLE-1,5459,,,,,,,-74
2026-03-06 16:34:04.167,RIOT-BLE-3,5348,,,,,,,-60
2026-03-06 16:34:04.203,RIOT-BLE-1,5460,,,,,,,-69
2026-03-06 16:34:04.212,RIOT-BLE-0,16437,,,,,,,-70
2026-03-06 16:34:04.214,RIOT-BLE-0,16438,,,,,,,-71
2026-03-06 16:34:04.217,RIOT-BLE-3,5349,,,,,,,-62
2026-03-06 16:34:04.312,RIOT-BLE-0,16439,,,,,,,-75
2026-03-06 16:34:04.316,RIOT-BLE-3,5350,,,,,,,-64
2026-03-06 16:34:04.358,RIOT-BLE-1,5461,,,,,,,-73
2026-03-06 16:34:04.412,RIOT-BLE-0,16440,,,,,,,-75
2026-03-06 16:34:04.417,RIOT-BLE-3,5351,,,,,,,-58
2026-03-06 16:34:04.453,RIOT-BLE-1,5462,,,,,,,-82
2026-03-06 16:34:04.503,RIOT-BLE-1,5463,,,,,,,-75
2026-03-06 16:34:04.517,RIOT-BLE-3,5352,,,,,,,-68
2026-03-06 16:34:04.563,RIOT-BLE-0,16441,,,,,,,-72
2026-03-06 16:34:04.603,RIOT-BLE-1,5464,,,,,,,-78
2026-03-06 16:34:04.617,RIOT-BLE-3,5353,,,,,,,-59
2026-03-06 16:34:04.665,RIOT-BLE-0,16442,,,,,,,-75
2026-03-06 16:34:04.703,RIOT-BLE-1,5465,,,,,,,-73
2026-03-06 16:34:04.717,RIOT-BLE-3,5354,,,,,,,-62
2026-03-06 16:34:04.812,RIOT-BLE-0,16443,,,,,,,-72
2026-03-06 16:34:04.814,RIOT-BLE-0,16444,,,,,,,-74
2026-03-06 16:34:04.817,RIOT-BLE-3,5355,,,,,,,-64
2026-03-06 16:34:04.853,RIOT-BLE-1,5466,,,,,,,-79
2026-03-06 16:34:04.903,RIOT-BLE-1,5467,,,,,,,-78
2026-03-06 16:34:04.917,RIOT-BLE-3,5356,,,,,,,-63
2026-03-06 16:34:04.963,RIOT-BLE-0,16445,,,,,,,-72
2026-03-06 16:34:05.012,RIOT-BLE-0,16446,,,,,,,-76
2026-03-06 16:34:05.017,RIOT-BLE-3,5357,,,,,,,-60
2026-03-06 16:34:05.053,RIOT-BLE-1,5468,,,,,,,-80
2026-03-06 16:34:05.103,RIOT-BLE-1,5469,,,,,,,-79
2026-03-06 16:34:05.112,RIOT-BLE-0,16447,,,,,,,-72
2026-03-06 16:34:05.117,RIOT-BLE-3,5358,,,,,,,-60
2026-03-06 16:34:05.203,RIOT-BLE-1,5470,,,,,,,-71
2026-03-06 16:34:05.213,RIOT-BLE-0,16448,,,,,,,-74
2026-03-06 16:34:05.217,RIOT-BLE-3,5359,,,,,,,-63
2026-03-06 16:34:05.304,RIOT-BLE-1,5471,,,,,,,-77
2026-03-06 16:34:05.317,RIOT-BLE-3,5360,,,,,,,-63
2026-03-06 16:34:05.362,RIOT-BLE-0,16449,,,,,,,-72
2026-03-06 16:34:05.403,RIOT-BLE-1,5472,,,,,,,-72
2026-03-06 16:34:05.412,RIOT-BLE-0,16450,,,,,,,-76
2026-03-06 16:34:05.417,RIOT-BLE-3,5361,,,,,,,-64
2026-03-06 16:34:05.512,RIOT-BLE-0,16451,,,,,,,-75
